jd,flux,dataset_marker,flux_err
1816.0890121614405,1.0120934008489253,TESS,
1816.0904010888612,1.0132479833326382,TESS,
1816.091790016282,1.0127027009520018,TESS,
1816.0931789437043,1.0134686015471348,TESS,
1816.0945678711264,1.0127433131392767,TESS,
1816.0959567980815,1.0128272769935207,TESS,
1816.0973457255025,1.012653569968414,TESS,
1816.0987346529246,1.0129267189651887,TESS,
1816.1001235803467,1.01273238873299,TESS,
1816.101512507302,1.0122092196755517,TESS,
1816.1029014347225,1.0120372411851437,TESS,
1816.1042903621442,1.0119936510995817,TESS,
1816.1056792891006,1.0122368189600208,TESS,
1816.107068216522,1.0124781390764852,TESS,
1816.108457143478,1.0124003359248088,TESS,
1816.1098460708997,1.0127789851428357,TESS,
1816.1112349983202,1.012567429168297,TESS,
1816.112623925276,1.0129799338245427,TESS,
1816.1140128526984,1.012330462524839,TESS,
1816.1154017796541,1.0121394105480892,TESS,
1816.116790707075,1.0122977013943817,TESS,
1816.1181796340309,1.012935630817168,TESS,
1816.1195685614532,1.0122869343778467,TESS,
1816.120957488409,1.0127347249837995,TESS,
1816.1223464153638,1.0124639219923401,TESS,
1816.1237353427855,1.0122801417822667,TESS,
1816.125124269742,1.0133472246474358,TESS,
1816.1265131971634,1.0124772161620632,TESS,
1816.1279021241187,1.0126130956619064,TESS,
1816.1292910510745,1.012518603209693,TESS,
1816.130679978496,1.0113469356171119,TESS,
1816.132068905452,1.0128791135254636,TESS,
1816.1334578324079,1.0124839156403582,TESS,
1816.1348467593637,1.0125597136582678,TESS,
1816.136235686785,1.012970728198408,TESS,
1816.1376246137409,1.0128078692186369,TESS,
1816.1390135406975,1.012554709202031,TESS,
1816.1404024676533,1.0114293544184272,TESS,
1816.1417913946084,1.0129791156969876,TESS,
1816.1431803215635,1.0125125710520857,TESS,
1816.1445692485202,1.0124766699656864,TESS,
1816.1459581759423,1.0119478384670082,TESS,
1816.1473471028974,1.0124499885089961,TESS,
1816.1487360298527,1.0122830168087358,TESS,
1816.1501249568084,1.0120743218571324,TESS,
1816.151513883765,1.0124088040333674,TESS,
1816.152902810721,1.0127282658391188,TESS,
1816.1542917376757,1.0124687281255222,TESS,
1816.1556806646317,1.0122845902875663,TESS,
1816.1570695915882,1.0121646466520335,TESS,
1816.158458518544,1.0121344676115327,TESS,
1816.1598474450343,1.0125961460997046,TESS,
1816.1612363719903,1.0132511224508969,TESS,
1816.1626252989452,1.012607075173854,TESS,
1816.164014225901,1.0130078973197238,TESS,
1816.1654031528576,1.0124962319587274,TESS,
1816.1667920798134,1.012158612160475,TESS,
1816.168181006303,1.0123810376045186,TESS,
1816.169569933258,1.0126066816993937,TESS,
1816.1709588602146,1.0130271733780394,TESS,
1816.1723477871712,1.0129918087334429,TESS,
1816.1737367136604,1.0123767293137473,TESS,
1816.1751256406164,1.0128521764748761,TESS,
1816.176514567573,1.0126347792451358,TESS,
1816.177903494063,1.0126873910562142,TESS,
1816.1792924210183,1.0128204095331084,TESS,
1816.180681347974,1.0125770842828905,TESS,
1816.1820702744642,1.012075551711492,TESS,
1816.1834592014202,1.0124011527956553,TESS,
1816.1848481283762,1.012553125549588,TESS,
1816.1862370548663,1.012051771792124,TESS,
1816.187625981822,1.0126885687266598,TESS,
1816.1890149083115,1.0126880131945986,TESS,
1816.190403835268,1.0128423105296775,TESS,
1816.191792761759,1.0121979056247525,TESS,
1816.193181688714,1.0124585972507554,TESS,
1816.1945706152035,1.0126068149120537,TESS,
1816.1959595416945,1.012714382205615,TESS,
1816.1973484686507,1.0122673878842,TESS,
1816.1987373951404,1.0129165229801904,TESS,
1816.2001263220957,1.0128587469891583,TESS,
1816.2015152485858,1.0116847548154042,TESS,
1816.2029041750766,1.011468430469256,TESS,
1816.2042931020326,1.0121214398671705,TESS,
1816.2056820285218,1.0120549019933431,TESS,
1816.2070709550121,1.0125361308050014,TESS,
1816.2084598815024,1.0121563109182343,TESS,
1816.2098488084582,1.0124457319830191,TESS,
1816.2112377349488,1.0124023207113644,TESS,
1816.2126266614391,1.012043541264203,TESS,
1816.2140155879285,1.0124254091330207,TESS,
1816.2154045144187,1.0127302081961438,TESS,
1816.2167934409097,1.0128857572287495,TESS,
1816.2181823678654,1.0127110369246681,TESS,
1816.219571294355,1.0129562313430158,TESS,
1816.2209602208443,1.012559960574291,TESS,
1816.2223491473353,1.0112337381377803,TESS,
1816.2237380738263,1.0115694124068972,TESS,
1816.2251270003155,1.0125582343734627,TESS,
1816.2265159268059,1.01220380606537,TESS,
1816.2279048532962,1.012013409739699,TESS,
1816.2292937797863,1.0120055228363305,TESS,
1816.2306827062764,1.0124048548660676,TESS,
1816.2320716327665,1.0132704740318823,TESS,
1816.2334605592566,1.0117933922394453,TESS,
1816.2348494857467,1.0130057912285633,TESS,
1816.236238412237,1.0127379684693292,TESS,
1816.2376273382617,1.011992354877562,TESS,
1816.2390162647519,1.0118353967576104,TESS,
1816.2404051912413,1.0124936513642515,TESS,
1816.241794117732,1.012334487872443,TESS,
1816.243183044223,1.0129938749673348,TESS,
1816.2445719707123,1.0127022103501906,TESS,
1816.2459608967363,1.012381637480317,TESS,
1816.2473498232264,1.0121218017434828,TESS,
1816.2487387497174,1.0120373824762225,TESS,
1816.2501276757419,1.01176961932162,TESS,
1816.2515166022315,1.012349315006447,TESS,
1816.2529055287216,1.011865485014547,TESS,
1816.2542944547467,1.0124889305086258,TESS,
1816.255683381237,1.0129070976061119,TESS,
1816.2570723077263,1.0124076511972806,TESS,
1816.2584612337507,1.012211711639632,TESS,
1816.259850160241,1.0120048644320032,TESS,
1816.2612390862657,1.0121711423006547,TESS,
1816.2626280127563,1.0113182403483054,TESS,
1816.2640169392466,1.0118528749216826,TESS,
1816.2654058652704,1.0124154640734457,TESS,
1816.26679479176,1.0114565850626858,TESS,
1816.2681837177852,1.0122022200785543,TESS,
1816.2695726438103,1.0120267845187083,TESS,
1816.2709615703,1.0117677236422564,TESS,
1816.2723504963235,1.0129046631510752,TESS,
