jd,flux,dataset_marker,flux_err
1711.362585961025,1.0077600602950172,TESS,
1711.3639748055366,1.0089346608204357,TESS,
1711.3653636500483,1.0102506435632617,TESS,
1711.3667524947934,1.009800540681398,TESS,
1711.368141339306,1.0082674214039602,TESS,
1711.3695301838177,1.008914640032406,TESS,
1711.3709190283294,1.008404574877893,TESS,
1711.3723078730748,1.0104615625645716,TESS,
1711.3736967175878,1.007937814090967,TESS,
1711.375085562333,1.0082014172256437,TESS,
1711.3764744068446,1.0064693376439457,TESS,
1711.377863251357,1.0090993643854897,TESS,
1711.3792520961022,1.008818300276209,TESS,
1711.380640940614,1.0097870263585733,TESS,
1711.3820297853586,1.0060585488047735,TESS,
1711.383418629871,1.0085442130966717,TESS,
1711.3848074746163,1.010559119904139,TESS,
1711.3861963191287,1.0112797714549484,TESS,
1711.3875851638738,1.0090470128571423,TESS,
1711.3889740083862,1.0068650374166794,TESS,
1711.3903628531314,1.0092177833507336,TESS,
1711.391751697876,1.0107073348191506,TESS,
1711.3931405423878,1.0094988224371595,TESS,
1711.394529387133,1.0091918899120462,TESS,
1711.395918231878,1.008711388661347,TESS,
1711.3973070763907,1.0087977275824567,TESS,
1711.3986959211359,1.0092812718563549,TESS,
1711.400084765881,1.0100740450273475,TESS,
1711.4014736106262,1.0106915805427006,TESS,
1711.402862455371,1.0085711170956513,TESS,
1711.4042512998826,1.0120344167711552,TESS,
1711.4056401446278,1.008576186676767,TESS,
1711.407028989373,1.0100179352200742,TESS,
1711.4084178341175,1.0094070190066065,TESS,
1711.4098066788629,1.0113691160988028,TESS,
1711.4111955236087,1.0108386661557818,TESS,
1711.412584368354,1.0094738703951949,TESS,
1711.4139732130984,1.0103410301628675,TESS,
1711.415362057843,1.0090667142530496,TESS,
1711.4167509025883,1.0097986906863714,TESS,
1711.4181397473335,1.010533647351932,TESS,
1711.419528592078,1.0090694310438597,TESS,
1711.4209174368227,1.0124782520740443,TESS,
1711.4223062815686,1.0095465694116021,TESS,
1711.4236951263144,1.0132474532011861,TESS,
1711.425083971059,1.011125082405504,TESS,
1711.4264728158034,1.0103973410882765,TESS,
1711.4278616607817,1.0119852402205782,TESS,
1711.4292505055269,1.0129639798832701,TESS,
1711.4306393502713,1.0099360953241603,TESS,
