tid,ra,dec,primary_transit,secondary_transit,period,phase_difference
TIC 0033715938,61.013211,-74.453573,1325.2211897692885,1323.8135575406773,1.4392967572711306,-0.9780000000000001
TIC 0033742428,93.161709,-16.81011,1469.0161736132684,1471.6546260263938,4.978212100236445,0.53
TIC 0035481236,101.969024,-16.71568,1469.2263789761662,1470.0319625504096,1.8434406733257025,0.43700000000000006
TIC 0037606218,93.248567,-27.880388,1469.61221486677,1473.2402154792762,7.835854454657059,0.46299999999999997
TIC 0038125059,137.152548,-25.839497,1515.491732681511,1519.5101577102946,4.2299210829301686,0.95
TIC 0038215399,108.077198,36.127106,1842.8746857090464,1844.0160152331118,2.4335384308430053,0.469
TIC 0038462522,61.41434,-63.741097,1598.750079757914,1598.7161525511249,1.3570882715642754,-0.02499999999999991
TIC 0038588414,56.815092,-11.075091,1412.53193986478,1414.958052525315,3.964236373423186,0.612
TIC 0038846515,68.959709,-64.027037,1600.2859560981192,1597.465066017999,2.849383919313233,-0.9899999999999999
TIC 0039576803,263.931052,30.643065,1984.5017316790031,1980.0222934971046,8.597770022837956,-0.521
TIC 0041870248,285.749654,34.602374,1684.32155271415,1685.5594119917228,2.8261627341844635,0.43799999999999994
TIC 0044988465,146.869302,-37.724516,1551.566571975322,1559.0547822685087,7.563848780996657,0.99
TIC 0047757785,279.984413,51.0928,1686.572166008869,1698.394372822204,15.67931938108091,0.754
TIC 0048507019,285.216206,49.089462,1687.3681734583947,1689.9309428295492,5.395303939272367,0.475
TIC 0049003142,164.129796,-34.563931,1544.4674343413074,1546.865244144873,2.502932989108184,0.958
TIC 0049534600,273.693892,-52.818848,1662.0530570955834,1666.4250124448297,7.949009725902455,0.55
TIC 0049671442,95.704181,-26.790052,1472.2371457089498,1472.2203352301299,4.2026197049901235,-0.003999999999999997
TIC 0049677785,351.449247,-11.609895,1354.2304524041294,1354.4026314408097,1.5942503396327434,0.10799999999999987
TIC 0050528312,81.930501,-3.995294,1470.4348721332087,1472.8764975316267,5.273488981464031,0.46299999999999997
TIC 0050743469,83.001666,-0.299087,1473.3636852915893,1476.552016928495,5.73440941889529,0.556
TIC 0050758245,126.821951,-6.409715,1494.992460607069,1497.3536668653717,4.514734719507804,0.5229999999999999
TIC 0051024887,42.154146,62.189709,1797.3367217987054,1798.0559895341835,8.267445235380556,0.08699999999999997
TIC 0051947865,138.757311,-20.120406,1519.523703108614,1515.2233174748958,7.401696443576917,-0.581
TIC 0052449797,100.384464,-30.345266,1470.023061359422,1470.577015630687,2.4511250940924607,0.22599999999999998
TIC 0053122807,102.800661,-35.467813,1510.2062622390206,1527.8623872980247,17.852502587466248,0.9889999999999999
TIC 0055252407,125.65366,-32.714751,1520.0156513946076,1521.3388800631994,2.45042346035515,0.54
TIC 0055489734,110.590377,-11.996023,1500.8179120775203,1504.9827551831113,13.015134704971926,0.31999999999999995
TIC 0055497281,71.717733,-60.603527,1607.2135503320872,1615.232634430149,14.905360777066509,0.538
TIC 0055659311,74.117326,-64.48753,1347.5940720098067,1361.9373580782062,31.113418803469862,0.46099999999999997
TIC 0056023695,113.074465,-14.608123,1492.9118806748415,1497.8924869664265,8.17833545416263,0.609
TIC 0056777828,274.000123,-40.771425,1657.2673755505816,1656.364737273695,1.632257281892605,-0.5529999999999999
TIC 0060735803,210.974917,-29.580271,1607.633469533174,1613.1944658406244,21.144472651902312,0.263
TIC 0062762261,336.502286,-31.536362,1332.1686696373558,1342.744346560214,19.15883500517764,0.552
TIC 0063071165,291.93632,47.309708,1690.1743845601272,1697.6184334059187,13.683913319469696,0.544
TIC 0063459761,308.525065,41.135869,1714.3436011059866,1717.3193782536712,4.363309600710556,0.6819999999999999
TIC 0063459761,308.525065,41.135869,1714.3436011059866,1717.3193782536712,4.363309600710556,0.6819999999999999
TIC 0063644417,308.450618,36.677704,1717.968028083037,1724.1121615018703,6.212470595382519,0.989
TIC 0064366964,338.026275,53.959122,1740.2682321106,1741.994030355481,4.459426989357236,0.387
TIC 0064783257,107.264893,-24.50713,1491.8415941660253,1489.833077809036,3.855117767733922,-0.521
TIC 0065628544,359.285302,55.705704,1765.7528664150104,1769.8251896741624,12.15618883328969,0.33499999999999996
TIC 0067559369,15.932436,-30.398812,1399.873118828797,1409.008225340874,14.710316444568452,0.6209999999999999
TIC 0070442570,339.714443,-33.081348,1332.1526516300391,1340.1062284460654,11.526922921777256,0.69
TIC 0072605231,151.792,-40.471312,1544.8829956435343,1543.158581587798,3.937018392092112,-0.438
TIC 0072782654,85.792594,-0.687443,1471.238009607157,1467.398410287429,6.631432331136597,-0.579
TIC 0073723286,155.636904,-40.516163,1547.302547757778,1533.3213674671106,14.065573733065817,-0.994
TIC 0074528318,137.657215,-43.082225,1520.1200779786532,1522.095512515829,4.670058007507671,0.42300000000000004
TIC 0074528791,137.7405,-43.267479,1519.8983873053232,1520.6931025886959,1.802075472500064,0.44099999999999995
TIC 0075969405,226.701238,-35.082625,1601.874745372997,1605.1760363414498,4.610741576051334,0.716
TIC 0077030554,354.015019,-32.623406,1355.8973065363834,1362.1827762877024,10.287184535710344,0.611
TIC 0077320223,41.55176,33.774902,1799.1006838992816,1802.9992478405877,8.606101415686616,0.45299999999999996
TIC 0077951245,79.004915,-31.412691,1443.1671984719976,1443.2100577217498,10.714812438027543,0.0039999999999998925
TIC 0078817217,103.320329,-19.585643,1478.6279505240288,1480.86791901059,17.77752767111915,0.126
TIC 0080025900,121.009795,-46.339543,1519.1361615781605,1521.5589513197904,4.058274274086975,0.597
TIC 0080659292,122.048574,-44.348197,1491.799832585012,1493.74053650021,1.992509153180861,0.974
TIC 0081390067,46.36477,61.654912,1794.9368753813687,1797.602079038768,7.702900743928223,0.346
TIC 0081609273,123.400639,-46.991624,1521.1239649133868,1520.823960806558,4.838775916591518,-0.062
TIC 0083905462,3.964834,60.431567,1768.793125437901,1772.4708901861932,9.652925848536189,0.381
TIC 0087251422,78.490397,56.507944,1825.1662881952489,1828.1411460866786,7.066170763490988,0.42100000000000004
TIC 0088589037,323.329125,25.690636,1714.4779851000474,1715.0931095268807,1.171665574920464,0.5249999999999999
TIC 0088916475,123.021113,-5.355121,1492.1167581512552,1494.885129935612,11.29947667084394,0.245
TIC 0089522181,301.36537,31.971696,1684.2373225799936,1685.8825904075725,2.3470297112394336,0.7010000000000001
TIC 0092132775,193.242114,15.029948,1934.5959839883053,1938.1619492730447,13.92955189351292,0.256
TIC 0092132777,193.242306,15.031521,1934.5960564703048,1938.1619997810735,13.92946605769047,0.256
TIC 0092743594,129.001624,-53.615113,1519.141420345377,1521.5329521856756,4.225321272612517,0.5660000000000001
TIC 0093911780,130.605778,-53.113981,1525.6402732965385,1516.4776689900427,16.843022622234788,-0.544
TIC 0094368565,58.503721,33.558574,1793.2455829404375,1786.056736737894,15.904526996777577,-0.45199999999999996
TIC 0096106862,147.206069,-8.493452,1520.3191555842848,1522.8368990063707,5.379793636935887,0.46799999999999997
TIC 0098337456,188.486485,26.940042,1905.661263332548,1912.688920295556,11.615961922327289,0.605
TIC 0099813351,310.338122,32.906709,1684.474844037521,1693.1857205186388,16.373827972025722,0.532
TIC 0099982385,310.432465,32.774026,1691.6365019250702,1690.7638756933172,18.566515569213397,-0.04699999999999993
TIC 0100099031,24.272372,-46.945333,2088.394261827837,2089.6469639592474,1.2981369237414169,0.965
