jd,flux,dataset_marker,flux_err
1764.688443356206,1.0022936094245767,TESS,
1764.689832294318,1.0021853557569336,TESS,
1764.691221231964,1.0014206165317385,TESS,
1764.6926101696106,0.9996343729043825,TESS,
1764.6939991072575,1.0024974107787965,TESS,
1764.6953880449034,1.0004033687658205,TESS,
1764.6967769825494,1.0026680952159792,TESS,
1764.6981659201956,1.0006440886606143,TESS,
1764.6995548578416,0.9984271418701114,TESS,
1764.7009437954878,1.0029349699171024,TESS,
1764.7023327331337,1.002155925577161,TESS,
1764.7037216707804,1.0012103458597172,TESS,
1764.705110608427,1.0014926218246463,TESS,
1764.7064995460732,0.9981409218069096,TESS,
1764.7078884837192,1.0012097149150883,TESS,
1764.7092774208998,1.0003512175836653,TESS,
1764.7106663585457,1.0001676832496749,TESS,
1764.7120552961917,1.0033286251386764,TESS,
1764.7134442338377,0.997731260524382,TESS,
1764.714833171018,1.000285367524929,TESS,
1764.7162221086649,1.0035175369644371,TESS,
1764.7176110458458,0.9999424387380861,TESS,
1764.7189999834925,0.9985896400875368,TESS,
1764.7203889211394,0.9967243607012087,TESS,
1764.7217778583197,1.0009692726600994,TESS,
1764.7231667959657,0.9990352095137005,TESS,
1764.7245557331462,0.9987889114887655,TESS,
1764.7259446703265,0.997626132445764,TESS,
1764.7273336079732,1.0004962632729064,TESS,
1764.7287225451544,0.9976932836149757,TESS,
1764.7301114823347,1.0012600735302568,TESS,
1764.7315004199806,0.997568686641945,TESS,
1764.7328893571612,1.0000866732277582,TESS,
1764.7342782943415,1.0024039709746129,TESS,
1764.735667231522,0.9988440123280347,TESS,
1764.737056169168,1.0021692246180371,TESS,
1764.738445106349,1.0024933430436027,TESS,
1764.73983404353,0.9993440007948822,TESS,
1764.7412229807105,1.001907167701435,TESS,
1764.7426119178908,1.0010889035052355,TESS,
1764.7440008550711,0.9985840066758266,TESS,
1764.7453897922517,1.0000044333327458,TESS,
1764.746778729432,0.9974683036694746,TESS,
1764.7481676666123,0.9967672222049033,TESS,
1764.7495566037935,0.9998875733308167,TESS,
1764.7509455405088,0.9998171090079729,TESS,
1764.7523344776891,1.000324690530157,TESS,
1764.7537234148697,0.9999859457011754,TESS,
1764.75511235205,0.9992775328652967,TESS,
1764.7565012892303,1.0029125700988457,TESS,
1764.757890225945,0.9982359184324044,TESS,
1764.7592791631255,1.0007980720599963,TESS,
1764.7606681003065,0.9986433525186428,TESS,
1764.762057037022,0.9995139263275129,TESS,
1764.7634459742023,0.9988134409093894,TESS,
1764.764834910917,0.9978862194225442,TESS,
1764.7662238480973,0.9991217524713701,TESS,
1764.7676127848122,0.9999525103775303,TESS,
1764.7690017219925,0.9997441805113172,TESS,
1764.7703906587071,1.0011045256863067,TESS,
1764.7717795958877,0.9996396703035836,TESS,
1764.773168532603,0.9987778947167018,TESS,
1764.7745574693183,1.0017423796965312,TESS,
1764.7759464064986,1.000576918444515,TESS,
1764.7773353432135,0.9994477564211708,TESS,
1764.7787242799282,1.0019900617020565,TESS,
1764.7801132171087,0.9996770918288242,TESS,
1764.7815021538233,1.000905233901702,TESS,
1764.782891090538,1.0007377332171639,TESS,
1764.7842800272535,0.9975986429673487,TESS,
1764.7856689639689,1.0013310145858196,TESS,
1764.7870579006835,1.0013552024388792,TESS,
1764.7884468373984,1.0030939775035477,TESS,
1764.789835774113,1.0011886437959383,TESS,
1764.7926136475423,0.9978837217916388,TESS,
1764.7940025842572,1.0000626175533287,TESS,
1764.7953915209725,1.0023254962595072,TESS,
1764.796780457688,0.9997574781112851,TESS,
1764.7981693944027,1.0018739082052504,TESS,
1764.7995583311174,0.998669610474051,TESS,
1764.800947267832,0.9994079215761645,TESS,
1764.802336204081,0.999392293526518,TESS,
1764.803725140796,1.0003505457678528,TESS,
1764.8051140775106,1.002195238286287,TESS,
1764.8065030142259,1.0019318933329502,TESS,
1764.8078919504758,1.000296389852243,TESS,
1764.8092808871904,1.0027776599768785,TESS,
