jd,flux,dataset_marker,flux_err
2010.2711257784745,1.007771595624399,TESS,
2010.2725147051456,1.0075044744480268,TESS,
2010.2739036318162,1.0075838350717337,TESS,
2010.2752925584869,1.0081577354331421,TESS,
2010.276681485158,1.0077098929738106,TESS,
2010.2780704118286,1.007670521145125,TESS,
2010.2794593384992,1.0085528755432458,TESS,
2010.2808482651703,1.007939332171439,TESS,
2010.2822371920747,1.0070103610194951,TESS,
2010.2836261187451,1.007533180200331,TESS,
2010.2850150454155,1.0079632545538963,TESS,
2010.286403972087,1.008975725891562,TESS,
2010.2877928987577,1.0075635398844094,TESS,
2010.2891818254282,1.0082788820678699,TESS,
2010.2905707520995,1.0078707363019588,TESS,
2010.2919596787701,1.0085671838130255,TESS,
2010.2933486054405,1.0086163248818312,TESS,
2010.2947375321119,1.008290731548934,TESS,
2010.296126458783,1.0090588834476655,TESS,
2010.2975153854536,1.0082404193071206,TESS,
2010.2989043121243,1.0087405291182971,TESS,
2010.3002932387953,1.0077267405568233,TESS,
2010.301682165466,1.008079746104694,TESS,
2010.3030710921366,1.0092942771881483,TESS,
2010.3044600188073,1.0076187578603781,TESS,
2010.305848945477,1.007473587787216,TESS,
2010.3072378721477,1.0108336476640054,TESS,
2010.308626798819,1.0090323625357591,TESS,
2010.3100157254903,1.0081544129597284,TESS,
2010.311404652161,1.0093430756273503,TESS,
2010.3127935788314,1.0077555327552685,TESS,
2010.3141825055027,1.0095135985944297,TESS,
2010.3155714321733,1.0078735440303008,TESS,
2010.316960358844,1.0088559150223548,TESS,
2010.318349285515,1.0094560414274645,TESS,
2010.3197382121857,1.0106136500751581,TESS,
2010.3211271388564,1.0092367500177128,TESS,
2010.3225160655275,1.0087498069114087,TESS,
2010.3239049921988,1.0085455090306295,TESS,
2010.3252939186364,1.0081957162119393,TESS,
2010.326682845307,1.00802724072267,TESS,
2010.3280717719783,1.0087584973462853,TESS,
2010.3294606986487,1.0093042643153598,TESS,
2010.3308496253194,1.0089038075486247,TESS,
2010.332238551991,1.0090954633230886,TESS,
2010.3336274786614,1.0092304946850157,TESS,
2010.3350164053318,1.0091322334672919,TESS,
2010.3364053320033,1.0096762719016679,TESS,
2010.3377942586744,1.0083403202351833,TESS,
2010.3405721120157,1.008067563459068,TESS,
2010.3419610386868,1.0087585869474598,TESS,
2010.3433499653574,1.0088449213146056,TESS,
2010.344738892028,1.0092518094613534,TESS,
2010.3475167453707,1.0092363659367334,TESS,
2010.3489056720405,1.0097129319132234,TESS,
2010.3516835253818,1.008085003933495,TESS,
2010.3530724520522,1.0091116611766173,TESS,
2010.3544613787226,1.00881664502649,TESS,
2010.3558503053941,1.0086569910246475,TESS,
2010.3572392320646,1.0090141688976524,TESS,
2010.358628158735,1.0078260367502108,TESS,
2010.3600170854065,1.0089805459563763,TESS,
2010.3614060120776,1.0093310481091664,TESS,
2010.3627949387483,1.008817640540582,TESS,
2010.364183865419,1.0084031170776802,TESS,
2010.36557279209,1.0089209890729995,TESS,
2010.3669617187606,1.0089199430309046,TESS,
2010.3683506454313,1.0081278837479952,TESS,
2010.3697395721024,1.0084173507445353,TESS,
2010.371128498773,1.0092380739399587,TESS,
2010.3725174254437,1.0087420709276487,TESS,
2010.3739063521148,1.0088375844100899,TESS,
2010.3752952787863,1.0090309091146072,TESS,
2010.376684205457,1.0086590029727196,TESS,
2010.3780731321274,1.0088182338204257,TESS,
2010.3794620587987,1.008844665519572,TESS,
2010.3808509854694,1.0089412518856191,TESS,
2010.3822399121398,1.0088989594293394,TESS,
