# "asas_sn_id":120259210822,"ra_deg":299.07833712,"dec_deg":48.02195158,"catalog_sources":["stellar_main","tic","aavsovsx"]
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
120259210822,2456694.1711357,12.696995933274938,0.0026948429572739383,13.70052895329396,0.00023069843787184302,21.13602273960714,2.17,bc019537,bc,B,V
120259210822,2456701.1635042,12.78702683976995,0.09708854013977185,13.69285746262922,0.008252975708382492,17.244436466378012,2.41,bc020320,bc,G,V
120259210822,2456735.0731369,12.571023457813217,0.1836478578682207,13.711354812532266,0.015879155542360877,16.552391726300332,1.65,bc021811,bc,G,V
120259210822,2456735.0784408,12.980564788499706,0.16756551778012405,13.676547431600994,0.014031472076705482,16.651894761559426,2.15,ba111405,ba,G,V
120259210822,2456737.0622019,13.02900547235794,0.061266073531897815,13.672503238288323,0.005111177390179851,17.7443062741296,1.71,bc022570,bc,G,V
120259210822,2456737.0700737,13.063772661706073,0.06287629326768059,13.669609869222107,0.005231551313689363,17.716139066380162,2.00,ba112165,ba,B,V
120259210822,2456741.0827098,13.071577506014954,0.06856769110913948,13.668961398684223,0.005701691245557618,17.62205757956734,2.17,ba112789,ba,G,V
120259210822,2456742.0850693,12.980594908159143,0.05467786435672477,13.67654491229869,0.004578562205955013,17.867827535493944,2.06,ba113144,ba,B,V
120259210822,2456751.0378787,12.778101452126217,0.07118687126108746,13.693615574756755,0.006055440573025636,17.581356629549948,1.54,bc024021,bc,G,V
120259210822,2456751.0540958,13.26467987941994,0.055429063124618545,13.65303947080914,0.004542060736095858,17.853012548415663,1.76,ba113768,ba,G,V
120259210822,2456757.0183976,12.884976429093973,0.09709608807553616,13.684572333470381,0.00819087460111731,17.244352061477272,2.68,bc025288,bc,G,V
120259210822,2456759.0488502,12.930660069299858,0.06571701256006858,13.680729667502042,0.005524198688122084,17.66816186229916,2.09,ba115734,ba,B,V
120259210822,2456760.0578642,12.757272520249334,0.13232988319584527,13.695386822006565,0.011274888839475082,16.908211570782527,2.29,bc026225,bc,B,V
120259210822,2456765.0687488,13.193210230383334,0.07438117013414512,13.65890519735925,0.0061280838067527535,17.53369887812732,2.09,ba116411,ba,G,V
120259210822,2456767.0556431,12.921089265706186,0.11904898683977297,13.68153358744652,0.010014718572943384,17.023042134387026,2.30,bc026993,bc,G,V
