jd,flux,dataset_marker,flux_err
1683.3567850307386,1.0051337352416798,TESS,
1683.358173911352,1.0059794431261717,TESS,
1683.3595627921986,1.0056589265309945,TESS,
1683.3609516728116,1.0058178696983844,TESS,
1683.362340553657,1.005951898124264,TESS,
1683.3637294342707,1.0056387725050326,TESS,
1683.365118314884,1.0057478861893903,TESS,
1683.3665071957307,1.0057607979770866,TESS,
1683.367896076344,1.0058761105445009,TESS,
1683.369284956957,1.0058806776819225,TESS,
1683.3706738378028,1.0063948645321796,TESS,
1683.3720627184161,1.0061872391342006,TESS,
1683.37345159903,1.006345228627274,TESS,
1683.3748404796434,1.005976074641954,TESS,
1683.3762293602572,1.0065279316277032,TESS,
1683.3776182411034,1.0064564432383976,TESS,
1683.3790071217163,1.0065243105085704,TESS,
1683.38039600233,1.0063548320832476,TESS,
1683.381784882944,1.0065720685932278,TESS,
1683.383173763557,1.0063810132864965,TESS,
1683.3845626441698,1.006680146578398,TESS,
1683.3859515250165,1.0066837600415095,TESS,
1683.3873404056294,1.006825775489783,TESS,
1683.3887292862428,1.007024653769172,TESS,
1683.390118166857,1.0071762059606097,TESS,
1683.39150704747,1.006749116260568,TESS,
1683.392895928083,1.0068836215236,TESS,
1683.3942848086963,1.0063916819700423,TESS,
1683.3956736893092,1.0067179949799614,TESS,
1683.397062569923,1.0070228503177612,TESS,
1683.398451450537,1.0063220560889108,TESS,
1683.3998403311498,1.006500549579787,TESS,
1683.4012292117627,1.0065891592663418,TESS,
1683.4026180923765,1.0065509302688145,TESS,
1683.4040069727566,1.0069815514070841,TESS,
1683.40539585337,1.0068844330205189,TESS,
1683.4067847339843,1.0069879438682676,TESS,
1683.4081736145972,1.007050923557569,TESS,
1683.4095624952101,1.0067404205427077,TESS,
1683.4109513758235,1.0070625612274926,TESS,
1683.4123402564378,1.006932064239853,TESS,
1683.4137291368188,1.0068686820822244,TESS,
1683.4151180174317,1.007092713521709,TESS,
1683.416506898045,1.0072543985027584,TESS,
1683.417895778658,1.007044746546857,TESS,
1683.419284659038,1.0071184550722116,TESS,
1683.4206735396524,1.0066681195607075,TESS,
1683.4220624202658,1.0068138304969572,TESS,
1683.4234513006459,1.0069632369211767,TESS,
1683.4248401812595,1.0066997023663986,TESS,
1683.4262290618722,1.0066592083923698,TESS,
1683.4276179422523,1.0066456557177732,TESS,
1683.4290068228665,1.0066125527196967,TESS,
1683.4303957034804,1.0064143448555924,TESS,
1683.4317845838605,1.0066147728557397,TESS,
1683.4331734644738,1.0063549337889375,TESS,
1683.434562344854,1.0072180462296974,TESS,
