# "asas_sn_id":137439611723,"ra_deg":43.64253366,"dec_deg":61.42516541,"catalog_sources":["stellar_main","tic"]
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
137439611723,2455946.8510068,847.6931167667044,0.6336678518116848,9.13918476272132,0.0008125221150435429,15.207702207664964,2.58,ba003191,ba,G,V
137439611723,2455950.8595941,776.8151233673906,0.5585234883877591,9.233987224486897,0.0007815125246479578,15.344752789068941,2.04,ba003650,ba,G,V
137439611723,2455969.7396252,370.5246764562197,0.4598955272760815,10.037738562717172,0.001349131311502429,15.555708429041495,2.07,ba006674,ba,G,V
137439611723,2455973.7522989,688.1000058309421,0.44390981874637137,9.36565250070051,0.0007012217242575502,15.594119515680951,2.25,ba007660,ba,G,V
137439611723,2456000.7349769,586.4240327561379,0.2615533760834028,9.539252004017605,0.0004847979141996829,16.16845556819242,1.73,ba010735,ba,B,V
137439611723,2457007.8148884,926.92434197349,0.3011429278805089,9.042170686211739,0.00035313482947100914,16.015424722324813,1.47,bc080291,bc,G,V
137439611723,2457007.8382508,920.7841077723815,0.44548416360703175,9.04938686701109,0.0005258799678196281,15.590275718593888,1.53,bd075459,bd,G,V
137439611723,2457008.8237661,969.4789717529271,0.479740461820391,8.993435420621,0.0005378734752492498,15.50984052150497,1.54,bc080684,bc,G,V
137439611723,2457008.8515068,898.047988803502,0.3541407470034701,9.076532543038878,0.00042863588512886844,15.83941664610763,1.56,bd075854,bd,G,V
137439611723,2457009.8307526,956.2455492108063,0.43098365504466685,9.00835783759695,0.0004898956078806232,15.626204393788521,1.51,bc081084,bc,G,V
137439611723,2457009.855507,908.4562870466411,0.3993404817405107,9.064021317429878,0.0004778058638720267,15.708998049912953,1.50,bd076252,bd,G,V
137439611723,2457010.8308218,974.3471140411219,0.49477588044840193,8.987997146671207,0.0005519592168976375,15.476335092938847,1.52,bc081492,bc,G,V
137439611723,2457010.855053,893.909237667269,0.3356554943520176,9.081547841255714,0.00040814314616054924,15.897621992289812,1.53,bd076660,bd,G,V
137439611723,2457011.8237799,914.3969941407306,0.22459632480505268,9.056944430138604,0.0002669807988978578,16.33384978022515,1.43,bc081891,bc,G,V
137439611723,2457011.8473056,857.600823486904,0.08690526599973765,9.12656843109731,0.0001101471023171554,17.36474116068714,1.50,bd077059,bd,G,V
137439611723,2457012.8176258,979.2014935776815,0.5104849355758814,8.982601236436757,0.0005666606246140953,15.442399067251353,1.51,bc082287,bc,G,V
137439611723,2457021.7941519,940.0219004534877,0.3772950413534685,9.026936474945126,0.0004362699482013604,15.770653650002428,1.42,bc084108,bc,G,V
137439611723,2457021.8233815,885.7783063771535,0.299615862727547,9.091468805117211,0.0003676647008213556,16.020944386857106,1.55,bd079281,bd,G,V
137439611723,2457037.7728436,978.3691561962856,0.5065489445895129,8.98352452253539,0.0005627698659698762,15.45080285661202,1.46,bc087557,bc,G,V
137439611723,2457037.7959657,913.120650816436,0.41808327044221,9.058460992658283,0.0004976761143566998,15.659199419550944,1.51,bd083096,bd,G,V
137439611723,2457042.7872058,910.2699505925355,0.4061866811167107,9.061855888915115,0.00048502893212720504,15.690542196770302,1.52,bd085057,bd,G,V
137439611723,2457043.763019,927.224269097363,0.30130582203906275,9.041819428779542,0.0003532115575686461,16.014837584946505,1.41,bc089931,bc,G,V
137439611723,2457044.7892365,911.6270716836607,0.41034119810612985,9.060238370737757,0.0004892604171966479,15.679493588269494,1.44,bd085887,bd,G,V
137439611723,2457045.7893491,866.9546416577109,0.1679542132088906,9.11479046415135,0.0002105749466337658,16.64937913669773,1.50,bd086300,bd,G,V
137439611723,2457049.7539959,917.0845471889395,0.24789577840224003,9.053757965328286,0.000293813622606379,16.226683566392555,1.52,bc092342,bc,G,V
137439611723,2457051.7826018,898.292115065035,0.36262904598918105,9.076237435534749,0.0004387904556876164,15.813699925113793,1.51,bd088531,bd,G,V
137439611723,2457052.7454834,989.6896864053438,0.5521198749357661,8.971033793294675,0.0006063822904156552,15.357272941332972,1.50,bc093290,bc,B,V
137439611723,2457054.7936633,868.7955491992201,0.22178132963644792,9.112487436068879,0.0002774722578522728,16.34754393654214,1.64,bd089592,bd,G,V
137439611723,2457061.7714375,919.8837513286961,0.4428635451857419,9.050449035463947,0.0005232980993357585,15.596681562892078,2.16,bd090797,bd,G,V
137439611723,2457065.7122197,902.2699520446274,0.20526315545831483,9.071440168358459,0.000247278683051093,16.431578891380184,1.62,bc096008,bc,B,V
137439611723,2457069.7259996,974.9955901707679,0.49934888587482334,8.987274775959964,0.0005566902390089202,15.46634618059003,1.70,bc096747,bc,G,V
137439611723,2457069.7455207,916.303719533967,0.4297608569380365,9.054682780787536,0.0005097997053581532,15.629289251258154,1.58,bd092331,bd,G,V
137439611723,2457070.731546,948.3882869333135,0.4004105010856207,9.017315950550541,0.0004589141510121286,15.706092746985064,1.78,bc097125,bc,G,V
137439611723,2457071.7228444,996.3686554193212,0.5620677473521233,8.963731262796768,0.000613169834599521,15.33788473051964,2.34,bc097520,bc,B,V
137439611723,2457072.7681711,932.697455134216,0.34637647612021505,9.035429425037954,0.0004036637685922577,15.863485419710981,1.55,bc097906,bc,G,V
137439611723,2457073.717633,964.8396230096458,0.4814765500789201,8.998643578749075,0.0005424156136335491,15.505918543630585,2.06,bc098088,bc,G,V
137439611723,2457076.7271254,955.8316905800755,0.4313677822040451,9.008827840896714,0.0004905445474927482,15.625237129692383,2.06,bc098568,bc,G,V
137439611723,2457077.7244809,982.4653805588445,0.528084179664956,8.978988264651903,0.0005842491292543847,15.405598500931498,2.03,bc098829,bc,G,V
137439611723,2457078.7249362,959.5011069616653,0.4462594014321975,9.004667704240386,0.0005055383086634703,15.588387947223005,1.75,bc099217,bc,G,V
137439611723,2457202.1138158,1002.7829436187549,0.5881135272927889,8.956764058481571,0.0006374797637732229,15.288703471693491,1.71,bc127433,bc,G,V
137439611723,2457206.1074741,862.4318014938748,0.388611952344343,9.120469498504185,0.0004897828388224849,15.73856600905609,1.51,bc128543,bc,G,V
137439611723,2457211.1089968,914.1094209572733,0.232151808008604,9.057285942333248,0.0002760489236444236,16.297926217876693,1.59,bc129738,bc,G,V
137439611723,2457211.1231561,723.0251397385227,0.6943088123314798,9.311897909344623,0.0010437859628747877,15.108474700027688,1.63,bd125299,bd,G,V
137439611723,2457218.0720425,854.0824313712716,0.3917659760225704,9.131031933409123,0.000498584875407791,15.729789604137608,1.62,bc131006,bc,G,V
137439611723,2457218.1100502,648.2437522785444,0.8222672840560559,9.430435555101827,0.0013787541860232348,14.924823865878302,1.57,bd126582,bd,B,V
137439611723,2457222.0970995,857.0142148387861,0.10425988859896992,9.127311341030909,0.00013223347280157244,17.167063252301077,1.67,bd127067,bd,G,V
137439611723,2457223.1030683,1013.7459025737461,0.6101676013551128,8.944958624861583,0.0006542326355776463,15.248733534240241,1.72,bc131839,bc,G,V
137439611723,2457228.0892214,833.5021098691643,0.29042195238103247,9.157514645746476,0.00037873453643245893,16.054782792001966,1.59,bd128141,bd,G,V
137439611723,2457228.094911,973.9873628713113,0.49253332576366105,8.988398099257978,0.0005496604278667731,15.481267341082157,1.65,bc132603,bc,G,V
137439611723,2457232.0386061,1036.7892062506457,0.6733409286799259,8.920555236465994,0.0007059220035953883,15.141768859587849,1.85,bc133657,bc,G,V
137439611723,2457233.071283,633.0399648480584,0.8666680916819717,9.456203583007971,0.0014881059439320406,14.867724375330473,1.44,bd129541,bd,B,V
137439611723,2457234.0709272,837.2151588933281,0.28676512232585677,9.152688696475181,0.00037230718604215363,16.068540570316888,1.47,bd129872,bd,G,V
137439611723,2457236.1302338,872.9494654809487,0.3435343657398881,9.10730864604918,0.0004277531908181646,15.872430922250139,1.48,bc134705,bc,G,V
137439611723,2457238.099248,942.7397998810112,0.3907510875177885,9.023801799049991,0.00045052669146643167,15.732605905181018,1.57,bc135097,bc,G,V
137439611723,2457241.1008178,866.8879584630381,0.16681623435863624,9.114873978489658,0.00020916427791840643,16.65676061021747,1.56,bd131152,bd,G,V
137439611723,2457243.0611231,996.6474894181705,0.5644208353346142,8.96342746177596,0.0006155645947902405,15.333348800780541,1.53,bc136171,bc,G,V
137439611723,2457245.0692702,888.9984685739755,0.31408486676434766,9.08752887242454,0.00038402382723639656,15.969738864357437,1.53,bd132396,bd,G,V
137439611723,2457246.0508147,919.2764524691588,0.256979051857175,9.051166065314323,0.0003038531614904666,16.18761208762139,1.52,bc137184,bc,G,V
137439611723,2457260.9911431,716.0597486704505,0.6815097670009623,9.322408250160537,0.0010345107195957382,15.128676182999929,1.48,bd134891,bd,B,V
137439611723,2457262.9446192,850.8859590978817,0.4223429160012471,9.135103011512719,0.0005395181129144339,15.64819335838638,1.46,bc139798,bc,B,V
137439611723,2457265.0075786,798.4915789442305,0.4539674690617483,9.204105553666796,0.0006179688229229754,15.569794561716797,1.64,bd136178,bd,G,V
137439611723,2457270.083539,548.8959516741284,1.0749271369509539,9.611056335269597,0.002128634868483913,14.633908826286472,1.39,bc141390,bc,G,V
137439611723,2457271.1047472,551.4424997947513,0.9903952971489873,9.606030818939788,0.0019521829161454527,14.722834970047955,1.61,bd137466,bd,G,V
137439611723,2457272.059885,1020.1837794136892,0.6266455196580512,8.938085369240133,0.0006676605217173534,15.219801546349263,1.62,bc142166,bc,G,V
137439611723,2457276.0516217,727.9206861822335,0.7509880758963923,9.304571250979969,0.0011214015514865417,15.023273790226146,1.48,bc143443,bc,G,V
137439611723,2457276.0765834,571.3222050139112,0.9584023308084302,9.56757864531255,0.0018233873194143419,14.758486740579691,1.58,bd138991,bd,G,V
137439611723,2457286.9476918,562.6277740656899,0.9742362042422756,9.584228486358267,0.001882154498458653,14.740695732069586,1.56,bd140566,bd,G,V
137439611723,2457286.9590375,551.0901832823429,1.0689976712556084,9.606724717292094,0.002108464323524189,14.63991449586066,1.50,bc145057,bc,G,V
137439611723,2457298.9251533,930.1422978045741,0.32154110542792647,9.038407919089407,0.0003757502506627489,15.944265142443948,1.49,bc147423,bc,G,V
137439611723,2457298.9281261,839.2880831958145,0.25986548712664875,9.15000376267323,0.0003365500972344028,16.175484882551757,1.56,bd142966,bd,G,V
137439611723,2457304.0236561,931.5353843481599,0.3209097653191425,9.036783013990588,0.00037445165064502444,15.94639906136441,1.42,bc148519,bc,G,V
137439611723,2457304.050089,860.5225199826347,0.08057342331998228,9.122875803633134,0.00010177514931075811,17.446876853953867,1.44,bd144070,bd,G,V
137439611723,2457308.8562896,840.5905671092024,0.25040222346772667,9.148320124127075,0.00032379179651306485,16.21576094140168,1.46,bd145514,bd,G,V
137439611723,2457308.8638346,882.9641090297717,0.2443324256115106,9.094923777982789,0.0003007808820027787,16.24240362749515,1.37,bc149990,bc,G,V
137439611723,2457309.9824239,811.1638935350622,0.39291053317925206,9.18700987667485,0.0005264986150184542,15.726622214748033,1.47,bd145974,bd,G,V
137439611723,2457314.8137491,621.5877474217505,0.955518731759444,9.47602529157751,0.0016708941278810792,14.761758380479261,1.49,bc151607,bc,G,V
137439611723,2457314.9081204,584.9153812577574,0.9352849894660928,9.54204879961468,0.0017380533177274874,14.78499648282236,1.49,bd147227,bd,G,V
137439611723,2457317.8373118,521.0119756050719,1.0400433823910675,9.667662140032924,0.002169781099692999,14.669727756150897,1.45,bd148334,bd,G,V
137439611723,2457317.8873375,655.5291982303384,0.8973572644114862,9.41830130309435,0.001487940328997093,14.829942936367978,1.42,bc152869,bc,G,V
137439611723,2457319.839913,880.1819313702614,0.2715226399926127,9.098350282028335,0.0003353094329945343,16.12784127466654,1.48,bc153733,bc,G,V
137439611723,2457320.8396983,816.2583270899969,0.3826495831177035,9.180212342573975,0.0005095488108444,15.755353282381288,1.45,bd149671,bd,G,V
137439611723,2457321.9653517,870.9239593512912,0.33323665982589545,9.109830808834118,0.0004158959651886446,15.905474461927797,1.52,bc154649,bc,G,V
137439611723,2457324.9301796,774.9940374345039,0.5247490681753976,9.236535501539132,0.0007359791100044221,15.412477203538192,1.55,bd151302,bd,G,V
137439611723,2457327.9328525,909.6609319713607,0.18801750347250543,9.062582546830972,0.00022466266761358896,16.52686068929867,1.48,bc156290,bc,G,V
137439611723,2457329.0159385,877.6950512858186,0.25015068103682286,9.101422280322337,0.0003097920100747102,16.216852169700616,1.46,bd152306,bd,G,V
137439611723,2457329.9738591,909.5120274580429,0.18007087996784887,9.06276028806298,0.00021520245081683292,16.573747676478117,1.43,bc157090,bc,G,V
137439611723,2457332.8103268,891.1984934773068,0.17856630548450322,9.084845295319443,0.00021778965261927362,16.582857610636623,1.51,bc157709,bc,G,V
137439611723,2457332.9730818,836.6132230773637,0.27243136844477855,9.153469593183045,0.00035395215433976584,16.124213613932806,1.45,bd153335,bd,G,V
137439611723,2457342.8381892,670.7322234509121,0.8670207258687881,9.393408476257612,0.0014050522690222964,14.867282695479895,1.52,bc159322,bc,G,V
137439611723,2457344.7487588,662.1460620110229,0.7939762465694367,9.407396903242207,0.0013033644822918816,14.962837619152435,1.64,bd155410,bd,G,V
137439611723,2457356.8596798,920.7133870194631,0.4486886253075995,9.049470260099733,0.0005297034173545156,15.582493743962594,1.65,bd157330,bd,G,V
137439611723,2457357.7756921,852.6615585010051,0.1555412781642843,9.13283969542048,0.00019828102371300904,16.732742235028518,1.50,bd157701,bd,G,V
137439611723,2457358.7682449,873.1746905859363,0.21507484228245577,9.10702855708619,0.00026773222472132826,16.380882360931103,1.53,bd158077,bd,G,V
137439611723,2457358.8164347,867.3654713986019,0.3302331689373166,9.1142760807585,0.00041383835131481673,15.915304663493618,1.49,bc162591,bc,G,V
137439611723,2457359.6920317,868.035652331122,0.33927624350541574,9.113437496838738,0.0004248426024426589,15.885972766342176,1.76,bc162928,bc,G,V
137439611723,2457360.9258749,888.198708168893,0.20514496818251976,9.088506061559105,0.00025105154850726876,16.432204221145497,1.40,bc163546,bc,G,V
137439611723,2457362.9185131,902.7377460213823,0.3761449837729753,9.070877399713378,0.00045290367555076257,15.773968207447792,1.55,bd159926,bd,G,V
137439611723,2457363.9110661,842.7241593373983,0.4365496306997316,9.145567793226054,0.0005630673606473696,15.61227233076805,1.43,bc164829,bc,G,V
137439611723,2457365.829991,859.8673779097328,0.06581054348812183,9.12370272258106,8.319096791124003e-05,17.666617700223618,1.52,bd161166,bd,G,V
137439611723,2457368.8277529,904.1710028801543,0.12174372604348939,9.069154967200282,0.00014635521000150106,16.9987399199849,1.57,bc166638,bc,G,V
137439611723,2457370.7705524,814.6305753258994,0.3797365472064467,9.182379638711511,0.0005066801186091249,15.76365040065453,1.44,bd162950,bd,G,V
137439611723,2457377.7421521,842.7358072454016,0.43963528064061275,9.145552786574243,0.000567039434387976,15.6046250506955,1.43,bc168639,bc,G,V
137439611723,2457377.8612255,843.7000043498282,0.2363047267297077,9.144311276151292,0.00030443636661419093,16.278675371736323,1.69,bd164246,bd,G,V
137439611723,2457384.8474222,876.1122499220854,0.29192752587917425,9.103382022662256,0.00036218250362069073,16.049168777191582,1.49,bc170231,bc,G,V
137439611723,2457384.9022845,847.6953967748938,0.21571060427873737,9.139181842461547,0.00027659469311867163,16.377677655091436,1.58,bd165788,bd,G,V
137439611723,2457385.828862,916.4057059698407,0.4312917529118963,9.05456194290195,0.0005115587785474957,15.625428509378022,1.55,bd165980,bd,G,V
137439611723,2457386.7419109,955.2906295397123,0.55526919349298,9.009442610103287,0.0006318008912940262,15.351097445305886,1.72,bd166332,bd,G,V
137439611723,2457386.8297083,930.3771170270356,0.3170612044987572,9.038133853975417,0.0003704215610134935,15.9594986307952,1.49,bc170887,bc,G,V
137439611723,2457390.8419611,891.8940590406207,0.17384196370652144,9.083998226834845,0.00021186222095256123,16.61196984592716,1.42,bc172420,bc,G,V
137439611723,2457390.860975,888.292622768445,0.3084406474510322,9.08839126619905,0.0003774224447248769,15.989427378462063,1.53,bd167948,bd,G,V
137439611723,2457394.8701773,898.2646583992923,0.3544673751158938,9.076270622012906,0.00042892773474196286,15.838415720543285,1.59,bd169277,bd,G,V
137439611723,2457395.8214885,976.0364836703229,0.4989803102560431,8.98611627541029,0.0005556860952704077,15.467147871882307,1.67,bc174152,bc,G,V
137439611723,2457398.7389521,959.3666354427336,0.44094473358756353,9.004819877934931,0.0004995876823237045,15.601395993715103,1.63,bc175373,bc,G,V
137439611723,2457398.7579692,884.2654758365484,0.28489315838124724,9.093324731288138,0.0003501962758507557,16.07565134387545,1.49,bd170910,bd,G,V
137439611723,2457403.7221096,895.6597170754889,0.1344120319771373,9.079423799630721,0.00016312002423733452,16.89126102717648,1.45,bc177066,bc,G,V
137439611723,2457403.7372687,887.5709790640241,0.3049597960052858,9.089273670387238,0.00037346651361419667,16.00174992255537,1.49,bd172610,bd,G,V
137439611723,2457406.8004102,850.7709116043076,0.41443783986386556,9.135249822813376,0.0005294914374141435,15.668707890167612,1.40,bc178427,bc,G,V
137439611723,2457407.8234957,878.2919941150532,0.2643749146887591,9.100684094390344,0.000327185081533977,16.15680578223572,1.60,bd174409,bd,G,V
137439611723,2457409.7321803,894.24969551482,0.17218043163947025,9.081134402149281,0.00020928454773321096,16.622396913134658,1.63,bc179632,bc,G,V
137439611723,2457411.8230963,844.7366728228371,0.2447846576256818,9.142978032624747,0.00031497422639269825,16.240395908576808,1.45,bd176108,bd,G,V
137439611723,2457412.762044,850.2024855560238,0.18897880755683902,9.13597547879877,0.00024160332489507253,16.521323632941815,1.50,bd176492,bd,G,V
